lang;mean;sd;procs
Go;1.0;0;1
Go;2.016113495052106;0.07102654170053539;2
Go;4.017099982551038;0.1489641307261648;4
Go;5.499104263704765;0.19084536862648308;8
juliaFuncional;1.0;0;1
juliaFuncional;1.9829059829059827;0.23755351962337626;2
juliaFuncional;3.4746543778801846;0.41416984516775884;4
juliaFuncional;3.586206896551724;0.4281905147828979;8
juliaImperativo;1.0;0;1
juliaImperativo;1.2094763092269327;0.04237069245845915;2
juliaImperativo;1.3397790055248617;0.05411611075858205;4
juliaImperativo;1.5594855305466238;0.08373921227983037;8
Python;1.0;0;1
Python;2.093349779550703;0.1010957959741525;2
Python;4.732142857142857;0.22762847200224567;4
Python;4.523363955994103;0.19500668527648699;8
C/OpenMP;1.0;0;1
C/OpenMP;2.1711497890295357;0.046934766436090604;2
C/OpenMP;4.37809093326243;0.09189713446329201;4
C/OpenMP;6.78171334431631;0.17394222556969716;8
